ETF,Underlying,Yield,Group
TSLY,TSLA,62.7,A
OARK,ARKK,60.99,A
APLY,AAPL,28.42,D
NVDY,NVDA,105.43,B
AMZY,AMZN,40,D
FBY,META,31.6,B
GOOY,GOOGL,38.27,A
CONY,COIN,139.29,C
NFLY,NFLX,77.49,C
DISO,DIS,36.66,D
MSFO,MSFT,28.26,C
XOMO,XOM,22.96,A
JPMO,JPM,21.11,B
AMDY,AMD,59.14,C
PYPY,PYPL,60.05,C
SQY,XYZ,57.91,D
MRNY,MRNA,81.98,B
AIYY,AI,79.59,D
MSTY,MSTR,127.58,D
YBIT,IBIT,69.83,A
GDXY,GDX,36.84,B
SNOY,SNOW,69.98,A
ABNY,ABNB,34.98,C
BABO,BABA,107.21,B
TSMY,TSM,45.84,A
SMCY,SMCI,92.7,D
PLTY,PLTR,109.38,B
MARO,MARA,79.22,B
CVNY,CVNA,30,C
